cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y6167;BR;SAO PAULO;BICICLETA;01/04/2019 18:22;MASCULINO;DE 05 A 10 SM;DENTRO;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;5;3;4;1
Y6168;BR;SAO PAULO;PATINETE;01/04/2019 18:29;FEMININO;DE 03 A 05 SM;FORA - CENTRO;0;0;0;0;0;1;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y6169;BR;SAO PAULO;BICICLETA;01/04/2019 18:32;FEMININO;DE 10 A 20 SM;FORA - ZONA NORTE;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;1;4;2;5
Y6170;BR;SAO PAULO;PATINETE;01/04/2019 18:40;MASCULINO;MAIS DE 20 SM;FORA - ZONA LESTE;1;0;0;0;1;0;TRABALHO;SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;3;2;1
Y6171;BR;SAO PAULO;BICICLETA;01/04/2019 19:13;MASCULINO;ATE 01 SM;FORA - ZONA SUL;1;0;0;0;0;0;LAZER;SIM;1;0;0;0;1;1;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;2;4;1;5
Y6172;BR;SAO PAULO;PATINETE;01/04/2019 19:29;MASCULINO;DE 01 A 02 SM;FORA - ZONA LESTE;1;0;0;0;0;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;1;0;0; SIM;0;1;0;0;0;0;0;0;5;4;1;3;2
Y6173;BR;SAO PAULO;PATINETE;01/04/2019 19:32;FEMININO;DE 01 A 02 SM;DENTRO;1;0;0;0;0;0;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y6174;BR;SAO PAULO;PATINETE;01/04/2019 19:34;MASCULINO;MAIS DE 20 SM;FORA - CENTRO;0;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y6175;BR;SAO PAULO;BICICLETA;01/04/2019 19:35;FEMININO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;TRABALHO;SIM;0;1;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;3;1;4;2
Y6176;BR;SAO PAULO;BICICLETA;01/04/2019 19:37;FEMININO;DE 03 A 05 SM;DENTRO;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;3;5;2;1;4
